name,id,tags
Questions pour un champion,79855,Reality  Samuel Etienne hosts emblematic game sees candidates compete evening questions general culture 4.333    
Seinfeld,1400,Comedy  stand comedian offbeat friends weather pitfalls payoffs life New York City 8.28  Jerry Seinfeld Larry David  
Superman & Lois,95057,Sci-Fi & Fantasy Drama  years facing megalomaniacal supervillains monsters wreaking havoc Metropolis alien invaders intent wiping human race Man Steel aka Clark Kent Lois Lane come face face greatest challenges dealing stress pressures complexities come working parents today society 8.074  Greg Berlanti Todd Helbing  
South Park,2190,Animation Comedy  Follows misadventures irreverent grade schoolers quiet dysfunctional town South Park Colorado 8.4  Trey Parker Matt Stone  
Smallville,4604,Sci-Fi & Fantasy Action & Adventure Drama  origins world greatest hero Krypton refugee Kal el arrival Earth tumultuous teen years Clark Kent final steps embracing destiny Man Steel 8.232  Miles Millar Alfred Gough  
The Office,2316,Comedy  everyday lives office employees Scranton Pennsylvania branch fictional Dunder Mifflin Paper Company 8.586  Ricky Gervais Stephen Merchant Greg Daniels  
The Crown,65494,Drama  gripping decades spanning inside story Majesty Queen Elizabeth II Prime Ministers shaped Britain post war destiny Crown tells inside story famous addresses world Buckingham Palace Downing Street intrigues love lives machinations great events shaped second half century houses courts Crown 8.224  Peter Morgan  
I'm a Celebrity...Get Me Out of Here!,30901,Comedy Reality  celebrities abandoned Australian jungle order earn food perform Bushtucker Trials challenge physically mentally 5.8    
Emmerdale,2527,Soap Drama  lives families Yorkshire Dales revolve farm nearby village murders affairs lies deceit laughter tears village 4.1  Kevin Laffan  
Phineas and Ferb,1877,Animation Comedy Family Sci-Fi & Fantasy  day kindhearted suburban stepbrothers summer vacation embark grand new project annoys controlling sister Candace tries bust pet platypus plots evil Doofenshmirtz 7.846  Dan Povenmire Jeff 'Swampy' Marsh  
Hollyoaks,966,Soap  daily soap follows loves lives misdemeanours group people living Chester village Hollyoaks frequently happen 5.3  Phil Redmond  
Blue Bloods,32692,Drama Crime  drama multi generational family cops dedicated New York City law enforcement Frank Reagan New York Police Commissioner heads police force Reagan brood runs department diplomatically runs family dealing politics plagued unapologetically bold father Henry stint Chief 7.7  Robin Green Mitchell Burgess  
El hormiguero,6809,Comedy Talk  El Hormiguero Spanish television program live audience focusing comedy science politics running September hosted produced screenwriter Pablo Motos aired Spain Cuatro channel launch June broadcast Antena Recurring guests include Luis Piedrahita Raquel Martos Marron Man Black puppet ants Trancas Barrancas proved ratings success expanded weekly minute daily minute season began September won Entertainment prize Rose ceremony 5.3  Pablo Motos  
Wonderland of Love,209915,Drama War & Politics  Wonderland Love follows story emperor grandson Li Ni guards border forced responsibility quelling rebellion Li Ni grandson emperor loved father hides identity content carefree frontline border general intention fighting power military campaigns rebels encounters ambitious Cui Lin daughter General Cui Yi commander Cui family army Cui Lin concealed true identity disguised Lieutenant fighting alongside army cross paths times battlefields scheming witty guileful forthright competitiveness time time calculate predict plan movement fight winner leads path falling love 5.5  Fei Wo Si Cun  
Arrow,1412,Crime Drama Mystery Action & Adventure  Spoiled billionaire playboy Oliver Queen missing presumed dead yacht lost sea returns years later changed man determined clean city hooded vigilante armed bow 6.8  Greg Berlanti Marc Guggenheim Andrew Kreisberg  
Buffy the Vampire Slayer,95,Sci-Fi & Fantasy Comedy Drama Action & Adventure  generation slayer born girl world chosen wield strength skill fight vampires demons forces darkness stop spread evil swell number Slayer 8.164  Joss Whedon  
Sons of Anarchy,1409,Crime Drama  adrenalized drama darkly comedic undertones explores notorious outlaw motorcycle club MC desire protect livelihood ensuring simple sheltered town Charming California remains exactly charming MC confront threats drug dealers corporate developers overzealous law officers MC familial lifestyle legally thriving automotive shop ruthless illegal arms business driven seduction money power blood 8.446  Kurt Sutter  
Elementary,1415,Drama Mystery Crime  modern day drama crime solving duo cracks NYPD impossible cases Following fall grace London stint rehab eccentric Sherlock escapes Manhattan wealthy father forces live worst nightmare sober companion Watson 7.572  Robert Doherty  
