name,overview,id,poster_path,rating,vote_count,adult,director,producer,creator,actors,year_released,genres,keywords
My Liberation Notes,"Three siblings, exhausted by the monotony of day-to-day adulthood, seek to find fulfillment and freedom from their unremarkable lives.",154887,https://image.tmdb.org/t/p/w500/olmfFeKZyQoTwj9Zo3Y5IUaioPB.jpg,8.275,40,False,[],[],"['Kim Sok-yun', 'Park Hae Young']",[],2022.0,['Drama'],"['siblings', 'exhausted', 'monotony', 'day', 'day', 'adulthood', 'seek', 'find', 'fulfillment', 'freedom', 'unremarkable', 'lives']"
Ramo,The series will focus on the conflict between the two families and a great love that will flourish between this struggle.,97852,https://image.tmdb.org/t/p/w500/bzGhbTOz4PnRwNO37r6ss30ctPc.jpg,8.273,11,False,[],[],['Mustafa Shevky Dogan'],[],2020.0,['Drama'],"['series', 'focus', 'conflict', 'families', 'great', 'love', 'flourish', 'struggle']"
Inspector Montalbano,"Inspector Montalbano is an Italian television series produced and broadcast by RAI since 1999, based on the detective novels of Andrea Camilleri. The protagonist is Commissario Salvo Montalbano, and the stories are set in the imaginary town of Vigata, Sicily. In 2012 the series generated a prequel, Il giovane Montalbano.",37290,https://image.tmdb.org/t/p/w500/5aOkUsPOzXz0N6DHus3fJkUTF42.jpg,8.269,54,False,[],[],['Andrea Camilleri'],[],1999.0,"['Action & Adventure', 'Crime', 'Mystery', 'Drama']","['Inspector', 'Montalbano', 'Italian', 'television', 'series', 'produced', 'broadcast', 'RAI', 'based', 'detective', 'novels', 'Andrea', 'Camilleri', 'protagonist', 'Commissario', 'Salvo', 'Montalbano', 'stories', 'set', 'imaginary', 'town', 'Vigata', 'Sicily', 'series', 'generated', 'prequel', 'Il', 'giovane', 'Montalbano']"
Mysterious Lotus Casebook,"Li Lian Hua is a countryside doctor who travels dragging around a lotus tower. He accidentally becomes ""famous"" and gets pulled into the pugilistic world that he no longer wants to have any connections with.",230835,https://image.tmdb.org/t/p/w500/h8DteNYVPnGn6ZgCjIlQXW5KFUb.jpg,8.267,15,False,[],[],['Teng Ping'],[],2023.0,"['Drama', 'Mystery']","['Li', 'Lian', 'Hua', 'countryside', 'doctor', 'travels', 'dragging', 'lotus', 'tower', 'accidentally', 'famous', 'gets', 'pulled', 'pugilistic', 'world', 'longer', 'wants', 'connections']"
Daydreamer,"Sanem, a young girl with aspirations of becoming a writer, is forced by her parents to choose between an arranged marriage and finding a proper job. Rushing into a new job at an advertising company, she soon falls for her boss, Can.",80411,https://image.tmdb.org/t/p/w500/4Cfjp2thaMMjAdmGuIelOhl3arA.jpg,8.267,75,False,[],[],['Faruk Turgut'],[],2018.0,"['Drama', 'Comedy']","['Sanem', 'young', 'girl', 'aspirations', 'writer', 'forced', 'parents', 'choose', 'arranged', 'marriage', 'finding', 'proper', 'job', 'Rushing', 'new', 'job', 'advertising', 'company', 'soon', 'falls', 'boss']"
The Chi,"A relevant, timely and distinctive coming-of-age story following a half dozen interrelated characters in the South Side of Chicago. The story centers on Brandon, an ambitious and confident young man who dreams about opening a restaurant of his own someday, but is conflicted between the promise of a new life and his responsibility to his mother and teenage brother back in the South Side.",72071,https://image.tmdb.org/t/p/w500/niD8X5pEXpmRUDhSPdDOgI3Gw5Q.jpg,8.264,138,False,[],[],['Lena Waithe'],[],2018.0,['Drama'],"['relevant', 'timely', 'distinctive', 'coming', 'age', 'story', 'following', 'half', 'dozen', 'interrelated', 'characters', 'South', 'Chicago', 'story', 'centers', 'Brandon', 'ambitious', 'confident', 'young', 'man', 'dreams', 'opening', 'restaurant', 'someday', 'conflicted', 'promise', 'new', 'life', 'responsibility', 'mother', 'teenage', 'brother', 'South']"
Rome,A down-to-earth account of the lives of both illustrious and ordinary Romans set in the last days of the Roman Republic.,1891,https://image.tmdb.org/t/p/w500/6TthtTTZ0H7SUkQxJIv0l9yhOOU.jpg,8.264,1116,False,[],[],"['John Milius', 'William J. MacDonald', 'Bruno Heller']",[],2005.0,"['Action & Adventure', 'Drama']","['earth', 'account', 'lives', 'illustrious', 'ordinary', 'Romans', 'set', 'days', 'Roman', 'Republic']"
Bones,"Dr. Temperance Brennan and her colleagues at the Jeffersonian's Medico-Legal Lab assist Special Agent Seeley Booth with murder investigations when the remains are so badly decomposed, burned or destroyed that the standard identification methods are useless.",1911,https://image.tmdb.org/t/p/w500/eyTu5c8LniVciRZIOSHTvvkkgJa.jpg,8.263,2924,False,[],[],['Hart Hanson'],[],2005.0,"['Crime', 'Drama']","['Temperance', 'Brennan', 'colleagues', 'Jeffersonian', 'Medico', 'Legal', 'Lab', 'assist', 'Special', 'Agent', 'Seeley', 'Booth', 'murder', 'investigations', 'remains', 'badly', 'decomposed', 'burned', 'destroyed', 'standard', 'identification', 'methods', 'useless']"
1923,"Follow a new generation of the Dutton family during the early twentieth century when pandemics, historic drought, the end of Prohibition and the Great Depression all plague the mountain west, and the Duttons who call it home.",157744,https://image.tmdb.org/t/p/w500/zgZRJZvZn5cpsWAB0zMUdad3iZd.jpg,8.26,229,False,[],[],['Taylor Sheridan'],[],2022.0,"['Drama', 'Western']","['Follow', 'new', 'generation', 'Dutton', 'family', 'early', 'twentieth', 'century', 'pandemics', 'historic', 'drought', 'end', 'Prohibition', 'Great', 'Depression', 'plague', 'mountain', 'west', 'Duttons', 'home']"
Pinocchio,"Choi Dal-po, a man whose family was ruined by a news channel, and Choi In-ha, his friend who has the Pinocchio Syndrome forbidding her from speaking lies, become journalists and strive to fight for justice.",61611,https://image.tmdb.org/t/p/w500/i97YOqvylMMkiNzi4l5yyEVbYQi.jpg,8.259,596,False,[],[],['Jo Soo-won'],[],2014.0,['Drama'],"['Choi', 'Dal', 'po', 'man', 'family', 'ruined', 'news', 'channel', 'Choi', 'ha', 'friend', 'Pinocchio', 'Syndrome', 'forbidding', 'speaking', 'lies', 'journalists', 'strive', 'fight', 'justice']"
